타바, 69, 189
차사, 66, 174
다라, 57, 159
나사, 54, 160
하자, 69, 163
가마, 45, 195
다사, 78, 175
사사, 74, 167
가다, 72, 178
바바, 40, 195
아카, 66, 172
마바, 55, 171
나아, 40, 161
아바, 85, 186
카마, 96, 156
바타, 45, 195
아카, 63, 165
타하, 91, 148
자아, 95, 152
바타, 41, 154
나마, 64, 174
사차, 66, 151
하파, 61, 167
차가, 76, 168
파자, 48, 186
마사, 40, 165
가나, 57, 166
카다, 91, 168
타나, 76, 159
파라, 64, 185
하하, 60, 164
아사, 83, 146
차라, 65, 153
타자, 69, 160
마아, 87, 171
타자, 41, 196
카다, 77, 195
아차, 98, 179
가자, 56, 158
가다, 82, 165
차나, 91, 172
마자, 94, 140
카바, 74, 152
마차, 90, 178
하자, 44, 198
다다, 90, 168
마파, 68, 170
파라, 84, 187
타바, 86, 193
자아, 86, 199
사타, 54, 199
아하, 47, 181
바나, 75, 171
차하, 92, 156
나나, 59, 149
라파, 65, 148
라아, 53, 168
나차, 43, 194
마라, 42, 194
타사, 85, 186
나바, 90, 199
파바, 71, 155
마마, 51, 177
카자, 67, 171
파차, 89, 141
하라, 70, 142
사다, 77, 161
다바, 94, 152
하차, 46, 150
타바, 54, 168
아아, 91, 187
가마, 66, 182
다아, 42, 160
마아, 70, 177
바마, 50, 190
자바, 99, 140
아하, 84, 175
사바, 67, 199
하자, 99, 161
자가, 43, 199
아바, 89, 187
하파, 86, 181
가파, 88, 177
파다, 41, 165
바다, 84, 173
자차, 48, 186
다타, 85, 197
아마, 49, 152
카사, 63, 151
하카, 83, 175
차바, 58, 178
아카, 68, 141
바라, 41, 168
가바, 84, 192
하자, 87, 140
타타, 85, 155
바사, 51, 192
파사, 97, 146
아타, 54, 150
아가, 84, 167
