나아, 41, 168
마파, 76, 194
가마, 51, 140
아아, 83, 162
마타, 71, 194
가라, 89, 177
자아, 80, 193
가라, 72, 194
마사, 50, 191
사라, 84, 145
하마, 76, 150
다자, 85, 155
가카, 46, 156
다아, 79, 156
파라, 80, 170
나파, 56, 149
사타, 48, 144
사가, 82, 191
타파, 70, 147
파마, 98, 192
나자, 80, 140
나하, 55, 178
하카, 84, 154
마다, 74, 141
라타, 83, 169
가차, 77, 197
나파, 56, 177
사차, 65, 153
라차, 86, 187
하가, 42, 183
바나, 78, 182
카나, 72, 149
차아, 94, 194
차가, 87, 186
나카, 89, 188
바차, 77, 199
바라, 62, 175
사다, 52, 196
나바, 96, 148
바카, 63, 141
아나, 44, 157
파마, 61, 165
사카, 69, 152
파나, 55, 178
파나, 63, 146
바하, 73, 187
나아, 74, 156
타사, 40, 162
다가, 97, 179
바하, 77, 195
자나, 64, 188
나차, 99, 142
카다, 96, 167
나아, 74, 193
나카, 98, 197
라나, 56, 159
파바, 70, 160
자사, 58, 163
자라, 80, 172
나파, 77, 143
차차, 77, 191
나마, 80, 159
하가, 80, 164
타사, 47, 184
마파, 93, 153
아파, 81, 181
아다, 88, 148
차나, 95, 172
다가, 41, 162
하나, 75, 176
차타, 54, 195
바라, 72, 197
차자, 71, 188
가사, 65, 177
하차, 70, 150
파차, 86, 141
타차, 46, 194
다가, 58, 186
라타, 57, 165
카자, 58, 141
마타, 67, 187
차파, 86, 145
아차, 75, 161
사마, 45, 164
아사, 84, 190
카타, 43, 187
타사, 55, 187
사하, 60, 145
나카, 65, 143
하자, 54, 154
다차, 72, 195
라바, 81, 153
가카, 92, 189
카자, 67, 155
나타, 42, 179
바나, 94, 142
다차, 50, 147
타타, 79, 147
아라, 57, 149
카다, 48, 189
